SrcAddr,DstAddr,Sport,Dport,State,Dur,TotPkts,TotBytes,SrcBytes,DstBytes,SrcPkts,DstPkts,Rate,SrcRate,DstRate,Load,SrcLoad,DstLoad,sMeanPktSz,dMeanPktSz,attack_type,attack_category,has_SYN,has_RST,has_FIN,has_ACK,has_PSH,has_URG,has_ECE,has_CWR,ByteRatio,PktRatio,PktsPerSec,BytesPerSec,Proto_icmp,Proto_tcp,Proto_udp,State_OTH,State_REJ,State_RSTO,State_RSTR,State_RSTRH,State_S0,State_S1,State_S3,State_SF,State_SH,State_SHR
8.72.61.162,10.1.3.30,61473,900,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,50396,65389,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,48402,2045,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,57299,2811,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,40452,42510,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
34.138.13.16,10.1.4.40,34071,7800,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,63290,9877,RSTRH,0.000506,2.0,80.0,40.0,40.0,1.0,1.0,158102.76679841895,79051.38339920947,79051.38339920947,1264822.1343873516,156228030.4332203,632411.0671936758,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,3952.569169960474,158102.76679841895,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,47980,7402,RSTRH,0.001001,2.0,80.0,40.0,40.0,1.0,1.0,79920.07992007992,39960.03996003996,39960.03996003996,639360.6393606394,39920119.84019976,319680.3196803197,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,1998.0019980019981,79920.07992007992,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.0.0.1,10.1.3.30,39838,345,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,35715,2382,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,55191,110,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,65177,451,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,35434,62078,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,52761,743,RSTRH,0.001001,2.0,80.0,40.0,40.0,1.0,1.0,79920.07992007992,39960.03996003996,39960.03996003996,639360.6393606394,39920119.84019976,319680.3196803197,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,1998.0019980019981,79920.07992007992,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.0.0.1,10.1.4.40,51288,373,RSTRH,0.000502,2.0,80.0,40.0,40.0,1.0,1.0,159362.54980079684,79681.27490039842,79681.27490039842,1274900.3984063747,158727639.24382156,637450.1992031874,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,3984.0637450199206,159362.54980079684,False,True,False,False,False,False,False,True,False,False,False,False,False,False
8.72.61.162,10.1.3.30,61473,292,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,33423,993,RSTRH,0.000501,2.0,80.0,40.0,40.0,1.0,1.0,159680.63872255487,79840.31936127743,79840.31936127743,1277445.109780439,159361914.8927693,638722.5548902195,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,3992.015968063872,159680.63872255487,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,39799,8080,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,38388,328,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.0.0.1,10.1.4.40,35434,6668,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,40709,5102,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,46768,7100,RSTRH,0.001001,2.0,80.0,40.0,40.0,1.0,1.0,79920.07992007992,39960.03996003996,39960.03996003996,639360.6393606394,39920119.84019976,319680.3196803197,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,1998.0019980019981,79920.07992007992,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,48501,222,RSTRH,0.000505,2.0,80.0,40.0,40.0,1.0,1.0,158415.84158415842,79207.92079207921,79207.92079207921,1267326.7326732674,156847367.90510735,633663.3663366337,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,3960.39603960396,158415.84158415842,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,34071,6667,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
89.236.58.42,10.1.4.40,46627,986,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,47700,10180,RSTRH,0.0005,2.0,160.0,80.0,80.0,1.0,1.0,320000.0,160000.0,160000.0,2560000.0,320000000.0,1280000.0,80.0,80.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,320000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,36687,4003,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
